code,description,classification
4A01.34,Hyperimmunoglobulin E syndromes,rare disease
4A01.Z,Primary immunodeficiencies due to disorders of adaptive immunity unspecified,not a valid entry
4A0Y,Other specified primary immunodeficiencies,not a valid entry
4A0Z,Primary immunodeficiencies unspecified,not a valid entry
4A20.0,Adult-onset immunodeficiency,rare disease
4A20.1,Acquired immunodeficiency due to loss of immunoglobulin,rare disease
4A20.Y,Other specified acquired immunodeficiencies,not a valid entry
4A20.Z,Acquired immunodeficiencies unspecified,not a valid entry
4A40.00,Systemic lupus erythematosus with skin involvement,rare disease
4A40.0Y,Other specified systemic lupus erythematosus,not a valid entry
4A40.0Z,Systemic lupus erythematosus unspecified,not a valid entry
4A40.1,Drug-induced lupus erythematosus,rare disease
4A40.Y,Other specified lupus erythematosus,not a valid entry
4A40.Z,Lupus erythematosus unspecified,not a valid entry
4A41.00,Adult dermatomyositis,rare disease
4A41.01,Juvenile dermatomyositis,rare disease
4A41.0Z,Dermatomyositis unspecified,not a valid entry
4A41.10,Juvenile polymyositis,rare disease
4A41.11,Paraneoplastic polymyositis,rare disease
4A41.1Y,Other specified polymyositis,not a valid entry
4A41.1Z,Polymyositis unspecified,not a valid entry
4A41.20,Inflammatory inclusion body myositis,rare disease
4A41.21,Noninflammatory inclusion body myopathy,rare disease
4A41.2Z,Inclusion body myopathy unspecified,not a valid entry
4A41.Y,Other specified idiopathic inflammatory myopathy,not a valid entry
4A41.Z,Idiopathic inflammatory myopathy unspecified,not a valid entry
4A42.0,Paediatric onset systemic sclerosis,rare disease
4A42.1,Diffuse systemic sclerosis,rare disease
4A42.2,Limited systemic sclerosis,rare disease
4A42.Z,Systemic sclerosis unspecified,not a valid entry
4A43.0,IgG4 related disease,rare disease
4A43.1,Mikulicz disease,rare disease
4A43.20,Primary Sjögren syndrome,rare disease
4A43.21,Secondary Sjögren syndrome,rare disease
4A43.22,Paediatric onset Sjögren syndrome,rare disease
4A43.2Y,Other specified sjögren syndrome,not a valid entry
4A43.3,Mixed connective tissue disease,rare disease
4A43.4,Diffuse eosinophilic fasciitis,rare disease
4A43.Y,Other specified overlap non-organ specific systemic autoimmune disease,not a valid entry
4A43.Z,Undifferentiated non-organ specific systemic autoimmune disease,not a valid entry
4A44.0,Rhizomelic pseudopolyarthritis,rare disease
4A44.1,Aortic arch syndrome,emergency disease
4A44.2,Giant cell arteritis,emergency disease
4A44.3,Single organ vasculitis,rare disease
4A44.4,Polyarteritis nodosa,rare disease
4A44.5,Mucocutaneous lymph node syndrome,rare disease
4A44.6,Sneddon syndrome,rare disease
4A44.7,Primary angiitis of the central nervous system,rare disease
4A44.8,Thromboangiitis obliterans,rare disease
4A44.90,Cryoglobulinaemic vasculitis,rare disease
4A44.91,Hypocomplementaemic urticarial vasculitis,rare disease
4A44.92,IgA vasculitis,rare disease
4A44.9Y,Other specified immune complex small vessel vasculitis,not a valid entry
4A44.9Z,Immune complex small vessel vasculitis unspecified,not a valid entry
4A44.A0,Microscopic polyangiitis,rare disease
4A44.A1,Granulomatosis with polyangiitis,rare disease
4A44.A2,Eosinophilic granulomatosis with polyangiitis,rare disease
4A44.AY,Other specified antineutrophil cytoplasmic antibody-associated vasculitis,rare disease
4A44.AZ,Antineutrophil cytoplasmic antibody-associated vasculitis unspecified,not a valid entry
4A44.B0,Cutaneous leukocytoclastic vasculitis,rare disease
4A44.BY,Other specified leukocytoclastic vasculitis,rare disease
4A44.BZ,Leukocytoclastic vasculitis unspecified,not a valid entry
4A44.Y,Other specified vasculitis,rare disease
4A44.Z,Vasculitis unspecified,not a valid entry
4A45.0,Primary antiphospholipid syndrome,rare disease
4A45.1,Secondary antiphospholipid syndrome,rare disease
4A45.2,Antiphospholipid syndrome in pregnancy,rare disease
4A45.3,Lupus anticoagulant-hypoprothrombinaemia syndrome,rare disease
4A45.Z,Antiphospholipid syndrome unspecified,not a valid entry
4A4Y,Other specified nonorgan specific systemic autoimmune disorders,rare disease
4A4Z,Nonorgan specific systemic autoimmune disorders unspecified,not a valid entry
4A60.0,Familial Mediterranean fever,rare disease
4A60.1,Cryopyrin-associated periodic syndromes,rare disease
4A60.2,Tumour necrosis factor receptor 1 associated periodic syndrome,rare disease
4A60.Y,Other specified monogenic autoinflammatory syndromes,rare disease
4A60.Z,Autoimflammatory syndrome unspecified,not a valid entry
4A61,SAPHO syndrome,rare disease
4A62,Behçet disease,rare disease
4A6Y,Other specified autoinflammatory disorders,rare disease
4A6Z,Autoinflammatory disorders unspecified,not a valid entry
4A80.0,Drug-induced bronchospasm,not a valid entry
4A80.1,Bronchospasm provoked by allergy to food substance,common disease
4A80.Y,Other specified allergic or hypersensitivity disorders involving the respiratory tract,not a valid entry
4A80.Z,Allergic or hypersensitivity disorders involving the respiratory tract unspecified,not a valid entry
4A81,Allergic or hypersensitivity disorders involving the eye,common disease
4A82,Allergic or hypersensitivity disorders involving skin or mucous membranes,common disease
4A83.0,Food-induced eosinophilic gastroenteritis,rare disease
4A83.1,Food-induced eosinophilic oesophagitis,rare disease
4A83.Y,Other specified allergic or hypersensitivity disorders involving the gastrointestinal tract,not a valid entry
4A83.Z,Allergic or hypersensitivity disorders involving the gastrointestinal tract unspecified,not a valid entry
4A84.0,Anaphylaxis due to allergic reaction to food,emergency disease
4A84.1,Drug-induced anaphylaxis,emergency disease
4A84.2,Anaphylaxis due to insect venom,emergency disease
4A84.30,Exercise-induced anaphylaxis,emergency disease
4A84.31,Cold-induced anaphylaxis,emergency disease
4A84.3Y,Anaphylaxis provoked by other specified physical factors,emergency disease
4A84.3Z,Anaphylaxis provoked by unspecified physical factors,emergency disease
4A84.4,Anaphylaxis due to inhaled allergens,emergency disease
4A84.5,Anaphylaxis due to contact with allergens,emergency disease
4A84.6,Anaphylaxis secondary to mast cell disorder,emergency disease
4A84.Y,Other specified anaphylaxis,emergency disease
4A84.Z,Anaphylaxis unspecified,not a valid entry
4A85.00,Drug-induced liver hypersensitivity disease,rare disease
4A85.01,Drug-induced kidney hypersensitivity,rare disease
4A85.02,Drug-induced cytopenia,rare disease
4A85.03,Drug-induced vasculitis,rare disease
4A85.04,Multiple drug hypersensitivity syndrome,rare disease
4A85.0Y,Drug hypersensitivity of other specified type,not a valid entry
4A85.0Z,Drug hypersensitivity of unspecified type,not a valid entry
4A85.1,Hypersensitivity to herbal and alternative medical therapies,not a valid entry
4A85.20,Food-induced gastrointestinal hypersensitivity,not a valid entry
4A85.21,Food-induced urticaria or angioedema,not a valid entry
4A85.22,Allergic contact dermatitis due to food allergen,not a valid entry
4A85.2Y,Other specified food hypersensitivity,not a valid entry
4A85.2Z,Food hypersensitivity unspecified,not a valid entry
4A85.30,Systemic allergic reaction due to Hymenoptera venom,emergency disease
4A85.31,Cutaneous allergic or hypersensitivity reactions to Hymenoptera venom,not a valid entry
4A85.32,Cutaneous allergic or hypersensitivity reactions to arthropods,not a valid entry
4A85.Y,Other specified complex allergic or hypersensitivity conditions,not a valid entry
4A85.Z,Complex allergic or hypersensitivity conditions unspecified,not a valid entry
4A8Y,Allergic or hypersensitivity conditions of other specified type,not a valid entry
4A8Z,Allergic or hypersensitivity conditions of unspecified type,not a valid entry
4B00.00,Constitutional neutropenia,not a valid entry
4B00.01,Acquired neutropenia,not a valid entry
4B00.0Z,Neutropenia unspecified,not a valid entry
4B00.10,Constitutional neutrophilia,not a valid entry
4B00.11,Acquired neutrophilia,not a valid entry
4B00.1Z,Neutrophilia unspecified,not a valid entry
4B00.Y,Other specified disorders of neutrophil number,not a valid entry
4B01.00,Disorders of neutrophil adhesion,not a valid entry
4B01.01,Disorders of neutrophil chemotaxis,not a valid entry
4B01.02,Disorders of neutrophil granule formation or release,not a valid entry
4B01.03,Disorders of neutrophil oxidative metabolism,not a valid entry
4B01.0Y,Other specified constitutional disorders of neutrophil function,not a valid entry
4B01.0Z,Constitutional disorders of neutrophil function unspecified,not a valid entry
4B01.1,Acquired disorders of neutrophil function,not a valid entry
4B01.Z,Disorders of neutrophil function unspecified,not a valid entry
4B02.0,Constitutional decrease in eosinophil number,not a valid entry
4B02.1,Acquired decrease in eosinophil number,not a valid entry
4B02.Z,Eosinopenia unspecified,not a valid entry
4B03.0,Constitutional eosinophilia,not a valid entry
4B03.1,Acquired eosinophilia,not a valid entry
4B03.Z,Eosinophilia unspecified,not a valid entry
4B04,Disorders with decreased monocyte counts,not a valid entry
4B05,Disorders with increased monocyte counts,not a valid entry
4B06,Acquired lymphopenia,not a valid entry
4B07,Acquired lymphocytosis,not a valid entry
4B0Y,Other specified immune system disorders involving white cell lineages,not a valid entry
4B0Z,Immune system disorders involving white cell lineages unspecified,not a valid entry
4B20.0,Sarcoidosis of lung,rare disease
4B20.1,Sarcoidosis of lymph nodes,rare disease
4B20.2,Sarcoidosis of the digestive system,rare disease
4B20.3,Neurosarcoidosis,rare disease
4B20.4,Ocular sarcoidosis,rare disease
4B20.5,Cutaneous sarcoidosis,rare disease
4B20.Y,Other specified sarcoidosis,not a valid entry
4B20.Z,Sarcoidosis unspecified,not a valid entry
4B21,Polyclonal hypergammaglobulinaemia,rare disease
4B22,Cryoglobulinaemia,rare disease
4B23,Immune reconstitution inflammatory syndrome,rare disease
4B24.0,Acute graft-versus-host disease,emergency disease
4B24.1,Chronic graft-versus-host disease,rare disease
4B24.Y,Other specified graft-versus-host disease,not a valid entry
4B24.Z,Graft-versus-host disease unspecified,not a valid entry
4B2Y,Other specified disorders involving the immune system,not a valid entry
4B40.0,Persistent hyperplasia of thymus,rare disease
4B40.1,Abscess of thymus,emergency disease
4B40.2,Good syndrome,rare disease
4B40.Y,Other specified diseases of thymus,not a valid entry
4B40.Z,Diseases of thymus unspecified,not a valid entry
4B4Y,Other specified diseases of the immune system,not a valid entry
4B4Z,Diseases of the immune system unspecified,not a valid entry
5A00.00,Permanent congenital hypothyroidism with diffuse goitre,rare disease
5A00.01,Permanent congenital hypothyroidism without goitre,rare disease
5A00.02,Pendred syndrome,rare disease
5A00.03,Transient congenital hypothyroidism,rare disease
5A00.04,Congenital hypothyroidism due to iodine deficiency,rare disease
5A00.0Y,Other specified congenital hypothyroidism,not a valid entry
5A00.0Z,Congenital hypothyroidism unspecified,not a valid entry
5A00.10,Iodine-deficiency-related diffuse goitre,rare disease
5A00.11,Iodine-deficiency-related multinodular goitre,rare disease
5A00.1Z,Iodine-deficiency-related thyroid disorders or allied conditions unspecified,not a valid entry
5A00.20,Hypothyroidism due to medicaments or other exogenous substances,rare disease
5A00.21,Myxoedema coma,emergency disease
5A00.22,Subclinical iodine-deficiency hypothyroidism,rare disease
5A00.2Y,Other specified acquired hypothyroidism,not a valid entry
5A00.2Z,Acquired hypothyroidism unspecified,not a valid entry
5A00.Z,Hypothyroidism unspecified,not a valid entry
5A01.0,Nontoxic diffuse goitre,rare disease
5A01.1,Nontoxic single thyroid nodule,rare disease
5A01.2,Nontoxic multinodular goitre,rare disease
5A01.Z,Nontoxic goitre unspecified,not a valid entry
5A02.0,Thyrotoxicosis with diffuse goitre,rare disease
5A02.1,Thyrotoxicosis with toxic single thyroid nodule,rare disease
5A02.2,Thyrotoxicosis with toxic multinodular goitre,rare disease
5A02.3,Thyrotoxicosis from ectopic thyroid tissue,rare disease
5A02.4,Thyrotoxicosis factitia,rare disease
5A02.5,Thyroid crisis,emergency disease
5A02.6,Secondary hyperthyroidism,rare disease
5A02.Y,Other specified thyrotoxicosis,not a valid entry
5A02.Z,Thyrotoxicosis unspecified,not a valid entry
5A03.0,Acute thyroiditis,emergency disease
5A03.1,Subacute thyroiditis,rare disease
5A03.20,Hashimoto thyroiditis,rare disease
5A03.21,Painless thyroiditis,rare disease
5A03.2Y,Other specified autoimmune thyroiditis,not a valid entry
5A03.Y,Other specified thyroiditis,not a valid entry
5A03.Z,Thyroiditis unspecified,not a valid entry
5A04,Hypersecretion of calcitonin,not a valid entry
5A05,Generalised resistance to thyroid hormone,rare disease
5A06,Sick-euthyroid syndrome,not a valid entry
5A0Y,Other specified disorders of the thyroid gland or thyroid hormones system,not a valid entry
5A0Z,Disorders of the thyroid gland or thyroid hormones system unspecified,not a valid entry
5A10,Type 1 diabetes mellitus,common disease
5A11,Type 2 diabetes mellitus,common disease
5A12,Malnutrition-related diabetes mellitus,common disease
5A13.0,Diabetes mellitus due to genetic defects of beta cell function,rare disease
5A13.1,Diabetes mellitus due to genetic defects in insulin action,rare disease
5A13.2,Diabetes mellitus due to diseases of the exocrine pancreas,rare disease
5A13.3,Diabetes mellitus due to endocrinopathies,rare disease
5A13.4,Diabetes mellitus due to drug or chemical,common disease
5A13.5,Diabetes mellitus due to uncommon forms of immune-mediated diabetes,rare disease
5A13.6,Diabetes mellitus due to other genetic syndromes,rare disease
5A13.7,Diabetes mellitus due to clinically defined subtypes or syndromes,rare disease
5A13.Y,Diabetes mellitus due to other specified cause,not a valid entry
5A14,Diabetes mellitus type unspecified,not a valid entry
5A20.0,Hyperosmolar hyperglycaemic state without coma,emergency disease
5A20.1,Hyperosmolar hyperglycaemic state with coma,emergency disease
5A20.Z,Diabetic hyperosmolar hyperglycaemic state unspecified,not a valid entry
5A21.0,Hypoglycaemia in the context of diabetes mellitus without coma,common disease
5A21.1,Hypoglycaemia in the context of diabetes mellitus with coma,emergency disease
5A21.Z,Hypoglycaemia in the context of diabetes unspecified,not a valid entry
5A22.0,Diabetic ketoacidosis without coma,emergency disease
5A22.1,Diabetic lactic acidosis,emergency disease
5A22.2,Diabetic metabolic acidosis,emergency disease
5A22.3,Diabetic ketoacidosis with coma,emergency disease
5A22.Y,Other specified diabetic acidosis,not a valid entry
5A22.Z,Diabetic acidosis unspecified,not a valid entry
5A23,Diabetic coma,emergency disease
5A24,Uncontrolled or unstable diabetes mellitus,emergency disease
5A2Y,Other specified acute complications of diabetes mellitus,not a valid entry
5A40.0,Impaired fasting glucose,not a valid entry
5A40.1,Impaired glucose tolerance,not a valid entry
5A40.Y,Other specified intermediate hyperglycaemia,not a valid entry
5A40.Z,Intermediate hyperglycaemia unspecified,not a valid entry
5A41,Hypoglycaemia without associated diabetes,common disease
5A42,Increased secretion of glucagon,not a valid entry
5A43.0,Drug-induced hypergastrinaemia,not a valid entry
5A43.1,Zollinger-Ellison syndrome,rare disease
5A43.Y,Other specified abnormal secretion of gastrin,not a valid entry
5A43.Z,Abnormal secretion of gastrin unspecified,not a valid entry
5A44,Insulin-resistance syndromes,rare disease
5A45,Persistent hyperinsulinemic hypoglycaemia of infancy,rare disease
5A4Y,Other specified disorders of glucose regulation and pancreatic internal secretion,not a valid entry
5A4Z,Disorders of glucose regulation and pancreatic internal secretion unspecified,not a valid entry
5A50.00,Idiopathic hypoparathyroidism,rare disease
5A50.01,Secondary hypoparathyroidism,rare disease
5A50.02,Hypoparathyroidism due to destruction of the parathyroid glands,rare disease
5A50.03,Autoimmune hypoparathyroidism,rare disease
5A50.0Y,Other specified hypoparathyroidism due to impaired parathyroid hormone secretion,not a valid entry
5A50.0Z,Hypoparathyroidism due to impaired parathyroid hormone secretion unspecified,not a valid entry
5A50.1,Pseudohypoparathyroidism,rare disease
5A50.Y,Other specified hypoparathyroidism,not a valid entry
5A50.Z,Hypoparathyroidism unspecified,not a valid entry
5A51.0,Primary hyperparathyroidism,rare disease
5A51.1,Secondary hyperparathyroidism,rare disease
5A51.2,Familial hypocalciuric hypercalcaemia,rare disease
5A51.Y,Other specified hyperparathyroidism,not a valid entry
5A51.Z,Hyperparathyroidism unspecified,not a valid entry
5A5Y,Other specified disorders of the parathyroids or parathyroid hormone system,not a valid entry
5A5Z,Disorders of the parathyroids or parathyroid hormone system unspecified,not a valid entry
5A60.0,Acromegaly or pituitary gigantism,rare disease
5A60.1,Hyperprolactinaemia,rare disease
5A60.20,Nephrogenic syndrome of inappropriate antidiuresis,rare disease
5A60.2Y,Other specified syndrome of inappropriate secretion of antidiuretic hormone,not a valid entry
5A60.2Z,Syndrome of inappropriate secretion of antidiuretic hormone unspecified,not a valid entry
5A60.3,Central precocious puberty,rare disease
5A60.Y,Other specified hyperfunction of pituitary gland,not a valid entry
5A60.Z,Hyperfunction of pituitary gland unspecified,not a valid entry
5A61.0,Hypopituitarism,rare disease
5A61.1,Adrenocorticotropic hormone deficiency,rare disease
5A61.2,Gonadotropin deficiency,rare disease
5A61.3,Growth hormone deficiency,rare disease
5A61.40,Acquired central hypothyroidism,rare disease
5A61.41,Congenital central hypothyroidism,rare disease
5A61.4Y,Other specified thyroid stimulating hormone deficiency,not a valid entry
5A61.4Z,Thyroid stimulating hormone deficiency unspecified,not a valid entry
5A61.5,Central diabetes insipidus,rare disease
5A61.6,Oxytocin deficiency,rare disease
5A61.Y,Other specified hypofunction or disorders of pituitary gland,not a valid entry
5A6Z,Disorders of the pituitary hormone system unspecified,not a valid entry
5A70.0,Pituitary-dependent Cushing disease,rare disease
5A70.1,Ectopic ACTH syndrome,rare disease
5A70.2,Pseudo-Cushing syndrome,rare disease
5A70.3,Nelson syndrome,rare disease
5A70.Y,Other specified Cushing syndrome,not a valid entry
5A70.Z,Cushing syndrome unspecified,not a valid entry
5A71.00,Glucocorticoid resistance,rare disease
5A71.01,Congenital adrenal hyperplasia,rare disease
5A71.0Y,Other specified 46XX disorders of sex development induced by androgens of foetal origin,not a valid entry
5A71.0Z,46XX disorders of sex development induced by androgens of foetal origin unspecified,not a valid entry
5A71.1,46XX disorders of sex development induced by androgens of maternal origin,rare disease
5A71.Y,Other specified adrenogenital disorders,not a valid entry
5A71.Z,Adrenogenital disorders unspecified,not a valid entry
5A72.0,Primary hyperaldosteronism,rare disease
5A72.1,Secondary hyperaldosteronism,rare disease
5A72.Z,Hyperaldosteronism unspecified,not a valid entry
5A73,Hypoaldosteronism,rare disease
5A74.0,Acquired adrenocortical insufficiency,rare disease
5A74.1,Adrenal crisis,emergency disease
5A74.Y,Other specified adrenocortical insufficiency,not a valid entry
5A74.Z,Adrenocortical insufficiency unspecified,not a valid entry
5A75,Adrenomedullary hyperfunction,rare disease
5A76.0,Premature adrenarche,rare disease
5A76.Y,Other specified certain specified disorders of adrenal gland,not a valid entry
5A76.Z,Certain specified disorders of adrenal gland unspecified,not a valid entry
5A7Z,Disorders of the adrenal glands or adrenal hormone system unspecified,not a valid entry
5A80.0,Clinical hyperandrogenism,rare disease
5A80.1,Polycystic ovary syndrome,common disease
5A80.2,Polycystic ovary,not a valid entry
5A80.3,Anovulation,common disease
5A80.4,Oligo-ovulation,common disease
5A80.5,Diminished ovarian reserve,rare disease
5A80.Y,Other specified ovarian dysfunction,not a valid entry
5A80.Z,Ovarian dysfunction unspecified,not a valid entry
5A81.0,Testicular hyperfunction,rare disease
5A81.1,Testicular hypofunction,rare disease
5A81.Y,Other specified testicular dysfunction or testosterone-related disorders,not a valid entry
5A81.Z,Testicular dysfunction or testosterone-related disorders unspecified,not a valid entry
5A8Z,Disorders of the gonadal hormone system unspecified,not a valid entry
5A90,Disorder of puberty due to oestrogen resistance,rare disease
5A91,Delayed puberty,common disease
5A92,Peripheral precocious puberty,rare disease
5A9Y,Other disorders of puberty,not a valid entry
5A9Z,Disorders of puberty unspecified,not a valid entry
5B00,Autoimmune polyendocrinopathy,rare disease
5B01,Polyglandular hyperfunction,rare disease
5B0Y,Other specified polyglandular dysfunction,not a valid entry
5B0Z,Polyglandular dysfunction unspecified,not a valid entry
5B10,Carcinoid syndrome,rare disease
5B11,Short stature not elsewhere classified,not a valid entry
5B12,Constitutional tall stature,not a valid entry
5B1Y,Other specified endocrine disorders not elsewhere classified,not a valid entry
5B3Y,Other specified endocrine diseases,not a valid entry
5B3Z,Endocrine diseases unspecified,not a valid entry
5B50,Underweight in infants children or adolescents,not a valid entry
5B51,Wasting in infants children or adolescents,not a valid entry
5B52,Acute malnutrition in infants children or adolescents,emergency disease
5B53,Stunting in infants children or adolescents,not a valid entry
5B54,Underweight in adults,not a valid entry
5B55.0,Vitamin A deficiency with night blindness,common disease
5B55.1,Vitamin A deficiency with conjunctival xerosis,common disease
5B55.2,Vitamin A deficiency with conjunctival xerosis or Bitot's spots,common disease
5B55.3,Vitamin A deficiency with corneal xerosis,common disease
5B55.4,Vitamin A deficiency with corneal ulceration or keratomalacia,emergency disease
5B55.5,Vitamin A deficiency with xerophthalmic scars of cornea or blindness,emergency disease
5B55.Y,Vitamin A deficiency with other specified manifestations,not a valid entry
5B55.Z,Vitamin A deficiency unspecified,not a valid entry
5B56.0,Scurvy,common disease
5B56.Y,Other specified vitamin C deficiency,not a valid entry
5B56.Z,Vitamin C deficiency unspecified,not a valid entry
5B57.0,Vitamin D deficiency rickets,common disease
5B57.1,Vitamin D deficiency osteomalacia,common disease
5B57.Y,Other specified vitamin D deficiency,not a valid entry
5B57.Z,Vitamin D deficiency unspecified,not a valid entry
5B58,Vitamin E deficiency,rare disease
5B59,Vitamin K deficiency,rare disease
5B5A.00,Dry beriberi,common disease
5B5A.01,Wet beriberi,common disease
5B5A.0Z,Beriberi unspecified,not a valid entry
5B5A.10,Wernicke encephalopathy,rare disease
5B5A.11,Korsakoff syndrome,rare disease
5B5A.1Y,Other specified Wernicke-Korsakoff Syndrome,not a valid entry
5B5A.1Z,Wernicke-Korsakoff Syndrome unspecified,not a valid entry
5B5A.Y,Other specified vitamin B1 deficiency,not a valid entry
5B5A.Z,Vitamin B1 deficiency unspecified,not a valid entry
5B5B,Vitamin B2 deficiency,rare disease
5B5C.0,Pellagra,rare disease
5B5C.Y,Other specified vitamin B3 deficiency,not a valid entry
5B5D,Vitamin B6 deficiency,rare disease
5B5E,Folate deficiency,common disease
5B5F,Vitamin B12 deficiency,common disease
5B5G,Biotin deficiency,rare disease
5B5H,Pantothenic acid deficiency,rare disease
5B5J,Choline deficiency,rare disease
5B5K.0,Iron deficiency,common disease
5B5K.10,Tetany due to acute calcium deficiency,emergency disease
5B5K.1Y,Other specified calcium deficiency,not a valid entry
5B5K.1Z,Calcium deficiency unspecified,not a valid entry
5B5K.2,Zinc deficiency,common disease
5B5K.3,Iodine deficiency,common disease
5B5K.4,Fluorine deficiency,rare disease
5B5K.5,Sodium chloride deficiency,rare disease
5B5K.6,Copper deficiency,rare disease
5B5K.7,Selenium deficiency,rare disease
5B5K.8,Chromium deficiency,rare disease
5B5K.9,Manganese deficiency,rare disease
5B5K.A,Molybdenum deficiency,rare disease
5B5K.B,Vanadium deficiency,rare disease
5B5K.Y,Other specified mineral deficiency,not a valid entry
5B5K.Z,Mineral deficiency unspecified,not a valid entry
5B60,Sequelae of protein-energy malnutrition,not a valid entry
5B61,Sequelae of vitamin A deficiency,not a valid entry
5B62,Sequelae of vitamin C deficiency,not a valid entry
5B63,Sequelae of rickets,not a valid entry
5B6Y,Other specified sequelae of malnutrition and certain specified nutritional deficiencies,not a valid entry
5B6Z,Sequelae of malnutrition and certain specified nutritional deficiencies unspecified,not a valid entry
5B70,Essential fatty acid deficiency,rare disease
5B71,Protein deficiency,common disease
5B7Y,Other specified undernutrition,not a valid entry
5B7Z,Unspecified undernutrition,not a valid entry
5B80.00,Overweight in infants children or adolescents,common disease
5B80.01,Overweight in adults,common disease
5B80.0Z,Overweight unspecified,not a valid entry
5B80.1,Localised adiposity,not a valid entry
5B81.00,Obesity in children or adolescents,common disease
5B81.01,Obesity in adults,common disease
5B81.1,Drug-induced obesity,common disease
5B81.Y,Other specified obesity,not a valid entry
5B81.Z,Obesity unspecified,not a valid entry
5B90.0,Hypervitaminosis A,rare disease
5B90.1,Hypercarotenaemia,rare disease
5B90.2,Hypervitaminosis D,rare disease
5B90.3,Megavitamin-B6 syndrome,rare disease
5B90.Y,Other specified vitamin excess,not a valid entry
5B90.Z,Unspecified vitamin excesses,not a valid entry
5B91.0,Hypercalcaemia,emergency disease
5B91.1,Zinc excess,rare disease
5B91.2,Sodium chloride excess,rare disease
5B91.3,Fluorine excess,rare disease
5B91.4,Aluminium excess,rare disease
5B91.5,Manganese excess,rare disease
5B91.Y,Other specified mineral excess,not a valid entry
5B91.Z,Unspecified mineral excess,not a valid entry
5B9Y,Other specified nutrient excesses,not a valid entry
5B9Z,Certain specified nutrient excesses unspecified,not a valid entry
5C1Y,Other specified overweight obesity or specific nutrient excesses,not a valid entry
5C1Z,Overweight obesity or specific nutrient excesses unspecified,not a valid entry
5C3Y,Other specified nutritional disorders,not a valid entry
5C3Z,Nutritional disorders unspecified,not a valid entry
5C50.00,Classical phenylketonuria,rare disease
5C50.01,Nonclassical phenylketonuria,rare disease
5C50.02,Embryofetopathy due to maternal phenylketonuria,rare disease
5C50.0Y,Other specified phenylketonuria,not a valid entry
5C50.0Z,Phenylketonuria unspecified,not a valid entry
5C50.10,Alkaptonuria,rare disease
5C50.11,Tyrosinaemia type 1,rare disease
5C50.12,Tyrosinaemia type 2,rare disease
5C50.1Y,Other specified disorders of tyrosine metabolism,not a valid entry
5C50.1Z,Disorders of tyrosine metabolism unspecified,not a valid entry
5C50.20,Histidinaemia,rare disease
5C50.21,Urocanic aciduria,rare disease
5C50.2Y,Other specified disorders of histidine metabolism,not a valid entry
5C50.2Z,Disorders of histidine metabolism unspecified,not a valid entry
5C50.3,Disorders of tryptophan metabolism,rare disease
5C50.4,Disorders of lysine or hydroxylysine metabolism,rare disease
5C50.5,Disorders of the gamma-glutamyl cycle,rare disease
5C50.6,Disorders of serine metabolism,rare disease
5C50.70,Glycine encephalopathy,rare disease
5C50.71,Sarcosinaemia,rare disease
5C50.7Y,Other specified disorders of glycine metabolism,not a valid entry
5C50.7Z,Disorders of glycine metabolism unspecified,not a valid entry
5C50.8,Disorders of proline or hydroxyproline metabolism,rare disease
5C50.9,Disorders of ornithine metabolism,rare disease
5C50.A0,Argininosuccinic aciduria,rare disease
5C50.A1,Carbamoylphosphate synthetase deficiency,rare disease
5C50.A2,Argininaemia,rare disease
5C50.A3,Citrullinaemia,rare disease
5C50.AY,Other specified disorders of urea cycle metabolism,not a valid entry
5C50.AZ,Disorders of urea cycle metabolism unspecified,not a valid entry
5C50.B,Disorders of methionine cycle or sulfur amino acid metabolism,rare disease
5C50.C,Disorders of beta or omega amino acid metabolism,rare disease
5C50.D0,Maple-syrup-urine disease,rare disease
5C50.DY,Other specified disorders of branched-chain amino acid metabolism,not a valid entry
5C50.DZ,Disorders of branched-chain amino acid metabolism unspecified,not a valid entry
5C50.E0,Classical organic aciduria,rare disease
5C50.E1,Cerebral organic aciduria,rare disease
5C50.EY,Other specified organic aciduria,not a valid entry
5C50.EZ,Organic aciduria unspecified,not a valid entry
5C50.F0,Prolidase deficiency,rare disease
5C50.F1,Carnosinaemia,rare disease
5C50.F2,Homocarnosinosis,rare disease
5C50.FY,Other specified disorders of peptide metabolism,not a valid entry
5C50.FZ,Disorders of peptide metabolism unspecified,not a valid entry
5C50.G,Trimethylaminuria,rare disease
5C50.Y,Other specified inborn errors of amino acid or other organic acid metabolism,not a valid entry
5C50.Z,Inborn errors of amino acid or other organic acid metabolism unspecified,not a valid entry
5C51.0,Disorders of the pentose phosphate pathway,rare disease
5C51.1,Disorders of glycerol metabolism,rare disease
5C51.20,Primary hyperoxaluria type 1,rare disease
5C51.2Y,Other specified disorders of glyoxylate metabolism,not a valid entry
5C51.2Z,Disorders of glyoxylate metabolism unspecified,not a valid entry
5C51.3,Glycogen storage disease,rare disease
5C51.40,Galactose-1-phosphate uridyltransferase deficiency,rare disease
5C51.41,Galactokinase deficiency,rare disease
5C51.42,Glucose or galactose intolerance of newborn,common disease
5C51.4Y,Other specified disorders of galactose metabolism,not a valid entry
5C51.4Z,Disorders of galactose metabolism unspecified,not a valid entry
5C51.50,Hereditary fructose intolerance,rare disease
5C51.5Y,Other specified disorders of fructose metabolism,not a valid entry
5C51.5Z,Disorders of fructose metabolism unspecified,not a valid entry
5C51.Y,Other specified inborn errors of carbohydrate metabolism,not a valid entry
